sentence,label,idx
an admittedly middling film ,1,285
", 84 minutes is short ",1,319
it forces you to watch people doing unpleasant things to each other and themselves ,1,645
"the intimate , unguarded moments of folks who live in unusual homes -- ",0,710
should be poignant ,0,827
"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , but , dude ",1,1068
so skeeved out that they 'd need a shower ,1,1120
to watch too many barney videos ,1,1264
missing from the girls ' big-screen blowout ,1,1896
avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style ,0,2181
"combines improbable melodrama ( gored bullfighters , comatose ballerinas ) with subtly kinky bedside vigils and sensational denouements , and yet at the end ",0,2254
of menacing atmosphere ,1,2347
if oscar had a category called best bad film you thought was going to be really awful but was n't ,1,2986
"none of this is meaningful or memorable , but frosting is n't , either , and you would n't turn down a big bowl of that , would you ? ",1,3317
"that begins as a seven rip-off , only to switch to a mix of the shining , the thing , and any naked teenagers horror flick from the 1980s ",1,3728
you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists ,1,3940
be smarter than any 50 other filmmakers still ,0,3969
about hatred ,1,4053
chuckles ,0,4163
of our most conservative and hidebound movie-making traditions ,0,4524
ominous mood and tension ,0,4760
"lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , ",1,4784
is laughingly ,0,4860
at a snail 's pace ,1,4964
complaining when a film clocks in around 90 minutes these days ,1,4971
look at the list of movies starring ice-t in a major role ,0,4987
crime drama ,0,5019
pungent bite ,1,5105
"if the essence of magic is its make-believe promise of life that soars above the material realm , this is the opposite of a truly magical movie . ",1,5201
were insulted ,1,5470
genteel and unsurprising the execution ,1,5478
"raised to a new , self-deprecating level ",1,5502
it demands that you suffer the dreadfulness of war from both sides ,1,5545
trying to cope with the mysterious and brutal nature of adults ,0,5573
sad to say -- it accurately reflects the rage and alienation that fuels the self-destructiveness of many young people . ,1,5864
of barney 's crushingly self-indulgent spectacle ,1,5947
of better films ,0,5956
"is genial but never inspired , and little ",1,6049
to take everyone to since there 's no new `` a christmas carol '' out in the theaters this year ,0,6610
", an archetypal desire to enjoy good trash every now and then . ",0,7107
is an undeniably worthy and devastating experience ,0,7250
"evokes the frustration , the awkwardness and the euphoria of growing up , without relying on the usual tropes . ",0,7274
a younger lad in zen and the art of getting laid in this prickly indie comedy of manners and misanthropy ,0,7658
recommend `` never again ,1,8074
between flaccid satire and what ,1,8113
in spite of featuring a script credited to no fewer than five writers ,1,8648
gimmicky ,1,9310
anyone in his right mind would want to see the it ,1,10042
an american ( and an america ) always reaching for something just outside his grasp ,0,10103
starts with a legend and ends with a story that is so far-fetched it would be impossible to believe if it were n't true ,1,10372
"i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , ",0,10515
much of the film with a creepy and dead-on performance ,0,10525
a literary detective story is still a detective story ,0,10671
"he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car ",1,11046
to an imitation movie ,1,11214
to creep the living hell out of you ,0,11656
teeth-gnashing ,0,11758
the marvelous first 101 minutes have to be combined with the misconceived final 5 ,1,11998
just a bunch of good actors flailing around in a caper that 's neither original nor terribly funny ,1,12086
could make you weep ,0,12586
succeed in producing that most frightening of all movies -- a mediocre horror film too bad to be good and too good to be bad ,1,12821
a ploddingly melodramatic structure ,1,12838
"self-deprecating , biting and witty feature ",0,12885
the sort for those moviegoers who complain that ` they do n't make movies like they used to anymore ,1,13104
of softheaded metaphysical claptrap ,1,13238
all the blanket statements and dime-store ruminations ,1,13394
"the movie is silly beyond comprehension , ",1,13418
"the young actors , not very experienced , ",1,13873
"to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did ) ",0,13939
's soulful and unslick ,0,14160
is so engagingly messing around like slob city reductions of damon runyon crooks ,1,14284
seagal ,0,14319
better films ,0,14457
almost bergmanesque intensity ,0,14508
jackass '' fan ,1,14609
a lot of their time ( including mine ) on something very inconsequential ,1,14766
an aging filmmaker still thumbing his nose at convention ,1,14819
"modernizes a.e.w. mason 's story to suit the sensibilities of a young american , a decision that plucks `` the four feathers '' bare . ",1,14903
drive past -- even if it chiefly inspires you to drive a little faster ,0,15009
"xerox of other , better crime movies ",1,15282
through some of clancy 's holes ,1,15310
"with all its flaws , is that it has none of the pushiness and decibel volume of most contemporary comedies . ",0,15542
have finally aged past his prime ... ,1,15783
silly ,1,16136
absorbs all manner of lame entertainment ,1,16381
sit through it all ,1,17115
a problem hollywood too long has ignored ,0,17832
nothing else to watch ,1,18288
to a series of standup routines in which wilson and murphy show how funny they could have been in a more ambitious movie ,1,18299
"'s become one of the movies ' creepiest conventions , in which the developmentally disabled ",1,18570
my ribcage did n't ache by the end of kung pow ,0,18705
"is depressing , ruthlessly pained and depraved ",1,18776
"a film neither bitter nor sweet , neither romantic nor comedic , neither warm nor fuzzy . ",1,18909
wilson and murphy show how funny they could have been in a more ambitious movie ,1,18963
`` the road paved with good intentions leads to the video store '' ,1,19111
sneering humor ,1,19149
he script is n't up to the level of the direction ,1,19157
those who are drying out from spring break ,1,19773
"if uneven , ",1,19946
transcends ethnic lines . ,0,20228
"the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian ",1,21476
takes such a speedy swan dive ,1,21550
", incoherence and sub-sophomoric ",1,21901
"there are no special effects , and no hollywood endings . ",1,22267
little-known perspective ,0,22274
twisted shapes history ,0,22820
"others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches ",0,23122
"'s very beavis and butthead , yet always ",0,23136
", no-frills ride ",0,23139
"ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ",0,23222
been a more compelling excuse to pair susan sarandon and goldie hawn ,1,24139
"a movie with a ` children 's ' song that includes the line ` my stepdad 's not mean , he 's just adjusting ' ",0,24511
"have been picked not for their acting chops , but for their looks and ",1,24754
simplistic story ,0,24908
is supposed to be madcap farce ,1,25247
"unfolds as one of the most politically audacious films of recent decades from any country , but especially from france ",0,25401
"a rather simplistic one : grief drives her , love drives him ",0,25600
"a popcorn film , not a must-own , ",1,26011
"the script is high on squaddie banter , low on shocks . ",1,26319
believing it was just coincidence ,1,26648
illustrating the demons bedevilling the modern masculine journey ,0,26933
wondering why lee 's character did n't just go to a bank manager and save everyone the misery ,1,26958
"dip into your wallet , swipe 90 minutes of your time , and ",1,26963
subtle direction ,0,27038
gain the unconditional love she seeks ,0,27103
on its taut performances and creepy atmosphere ,0,27132
'm not ,1,27352
"that beneath the hype , the celebrity , the high life , the conspiracies and the mystery there were once a couple of bright young men -- promising , talented , charismatic and tragically doomed ",0,27473
"rent `` shakes the clown '' , a much funnier film with a similar theme and an equally great robin williams performance ",0,27552
characteristically engorged ,1,27799
cause you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists . ,1,27879
"recommend it , because it overstays its natural running time ",1,27957
subtlest and most complexly evil uncle ralph ,0,28000
"while some will object to the idea of a vietnam picture with such a rah-rah , patriotic tone , soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation . ",0,28005
you rode the zipper after eating a corn dog and an extra-large cotton candy ,1,28648
understated performances of ( jack nicholson 's ) career ,0,28917
"in the film 's drumbeat about authenticity , given the stale plot and pornographic way the film revels in swank apartments , clothes and parties ",1,28996
's not a brilliant piece of filmmaking ,1,29076
he can be forgiven for frequently pandering to fans of the gross-out comedy ,1,29155
"as its uncanny tale of love , communal discord , and justice ",0,29449
takes on nickleby with all the halfhearted zeal of an 8th grade boy delving ,1,29509
an overcooked soufflé ,1,29915
the movie is so thoughtlessly assembled . ,1,29983
seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business . ,1,30283
"it 's a long way from orwell 's dark , intelligent warning cry ( 1984 ) to the empty stud knockabout of equilibrium , and what once was conviction is now affectation ",1,30330
excruciatingly ,1,30663
"is no rest period , no timeout ",1,31027
read my lips ,0,31216
of great actors hamming it up ,0,31238
is an ` action film ' mired in stasis . ,1,31369
until its final minutes this is a perceptive study of two families in crisis -- and of two girls whose friendship is severely tested by bad luck and their own immaturity . ,0,31617
"it may not be a great piece of filmmaking , but its power comes from its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this case ",0,31618
its characterization of hitler and the contrived nature of its provocative conclusion ,1,32343
as an actress in a role ,0,32539
far too polite to scale the lunatic heights of joe dante 's similarly styled gremlins ,1,32618
a caricature -- not even with that radioactive hair ,1,32950
deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that 's opened between them ,0,32994
the ` wow ' factor ,0,33027
like a glossy rehash ,1,33092
chilling tale ,0,33821
groan and ,1,33841
several old themes ,0,33980
a shakespearean tragedy ,0,34254
"the emperor 's club , ruthless in its own placid way , ",0,34437
few ` cool ' actors ,0,34578
"'re not likely to have seen before , but beneath the exotic surface ( and exotic dancing ) it 's surprisingly old-fashioned . ",0,34603
"a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing in the final two ",1,34716
will be upstaged by an avalanche of more appealing holiday-season product ,0,34749
one of the most incoherent ,1,34952
it falls into the trap of pretention almost every time ,1,35014
"shows excess in business and pleasure , allowing us to find the small , human moments , and leaving off with a grand whimper . ",0,35042
dragons ,0,35447
"is a question for philosophers , not filmmakers ; all the filmmakers need to do ",1,35654
"despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff . ",1,35743
"k-19 will not go down in the annals of cinema as one of the great submarine stories , but ",1,35800
for unexpectedly giddy viewing ,0,36198
on some levels ,0,36317
with complications ,1,36492
"its leaden acting , dull exposition ",1,36532
"eludes madonna and , playing a charmless witch ",1,37002
"terminally bland , ",1,37474
"is , truly and thankfully , a one-of-a-kind work ",0,37621
above its disgusting source material ,1,37876
the ending feels at odds with the rest of the film . ,1,37911
", tortured ",1,38248
down a familiar road with a few twists ,0,38286
"enough to make you put away the guitar , sell the amp , and apply to medical school ",1,38687
spectacle and ,0,38871
willing to express his convictions ,0,39110
in which fear and frustration are provoked to intolerable levels ,1,39202
on a 10-year delay ,1,39280
the rest of the cast was outshined by ll cool j. ,1,39553
its smallness ,1,39713
"attal 's hang-ups surrounding infidelity are so old-fashioned and , dare i say ",1,39854
to keep the extremes of screwball farce and blood-curdling family intensity on one continuum ,0,40016
a well-intentioned effort that 's still too burdened by the actor ,1,40178
steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology ,0,40692
of impossible disappearing/reappearing acts ,0,40771
convinced of its own brilliance ,0,41103
overcome blah characters ,1,41684
melodramatic movie ,1,41698
a damn fine and a truly distinctive and a deeply pertinent film ,0,41765
"that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones 's diary ",1,41779
"the sort of picture in which , whenever one of the characters has some serious soul searching to do , they go to a picture-perfect beach during sunset . ",0,41852
minority report ,0,41916
"finding the characters in slackers or their antics amusing , let alone funny ",1,42239
a suffocating rape-payback horror show that hinges on the subgenre 's most enabling victim ... and an ebullient affection for industrial-model meat freezers . ,1,42339
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so ",1,42487
be incomprehensible to moviegoers not already clad in basic black ,1,42823
"super - violent , super-serious ",1,42826
'll trudge out of the theater feeling as though you rode the zipper after eating a corn dog and an extra-large cotton candy ,1,43135
which undercuts the devastatingly telling impact of utter loss personified in the film 's simple title ,1,43267
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures . ",1,43431
could possibly be more contemptuous of the single female population . ,1,43875
in the travails of creating a screenplay ,0,43882
"the writer-director of this little $ 1.8 million charmer , which may not be cutting-edge indie filmmaking ",0,43883
"otherwise , this could be a passable date film . ",0,43920
than anything seen on jerry springer ,0,44136
of lazy humor ,1,44300
it 's a movie that gets under your skin . ,0,44559
"often likable , but just as often it 's meandering , low on energy , and too eager to be quirky at moments when a little old-fashioned storytelling would come in handy . ",1,44691
derivative ,1,45078
seems endless ,1,45694
're supposed to shriek ,1,45699
padding ,1,45968
true emotional connection or identification frustratingly ,1,46140
"the work of an exhausted , desiccated talent who ca n't get out of his own way . ",1,46519
", however entertainingly presented , ",0,46899
"4ever has the same sledgehammer appeal as pokemon videos , but ",1,47255
more damning ,1,47562
anachronistic quick edits and occasional jarring glimpses of a modern theater audience watching the events unfold ,1,47587
"bryan adams , the world 's most generic rock star ",1,47596
gives devastating testimony to both people 's capacity for evil and their heroic capacity for good . ,0,47678
"their super-powers , their super-simple animation ",0,47897
are telegraphed in the most blithe exchanges gives the film its lingering tug . ,0,47909
as unblinkingly pure as the hours ,0,49002
as it explores the awful complications of one terrifying day ,0,49022
expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness ,0,49100
suspenseful cliché ,1,49174
journey into a philosophical void ,1,49311
genuinely unnerving . ,1,49354
it 's insanely violent and very graphic ,1,49779
"an engaging , wide-eyed actress whose teeth are a little too big for her mouth ",0,49844
of male hustlers ,1,50105
those young whippersnappers making moving pictures today ,0,50271
has about 25 minutes of decent material . ,1,50544
be all too familiar ,1,50876
an adult who 's apparently been forced by his kids to watch too many barney videos ,1,51271
walks a tricky tightrope between being wickedly funny and just plain wicked ,0,51470
inspire a trip to the video store -- ,1,51525
unintentionally ,1,51733
of intoxicating atmosphere and little else ,0,51768
it makes most of what passes for sex in the movies look like cheap hysterics ,1,52075
an overwhelming sadness that feels as if it has made its way into your very bloodstream ,0,52144
the chaos of an urban conflagration ,0,52746
indulgent ,1,52762
"than recommended -- as visually bland as a dentist 's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms ",1,52789
but it is entertaining on an inferior level . ,1,52824
of devito 's misanthropic vision ,0,52959
chill ,0,53198
"to provide the pleasures of a slightly naughty , just-above-average off - broadway play ",0,53506
than either of those films ,0,53567
's always these rehashes to feed to the younger generations ,1,53729
repeating ,1,54495
movie audiences both innocent and jaded ,0,54575
surrealist ,0,54727
laughably ,1,54844
compromise with reality enough to become comparatively sane and healthy ,0,54864
"might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine ",1,55059
"that everlasting conundrum experienced by every human who ever lived : too much to do , too little time to do it in ",1,55452
84 minutes is short ,1,55453
"the film is an earnest try at beachcombing verismo , but it would be even more indistinct than it is were it not for the striking , quietly vulnerable personality of ms. ambrose . ",0,55848
smell the grease on the plot ,1,55894
comes alive when poor hermocrates and leontine pathetically compare notes about their budding amours ,1,55969
wears its heart on the sleeve of its gaudy hawaiian shirt ,1,56062
nearly flickering out by its perfunctory conclusion ,1,56280
elaborate and twisted characters ,0,56464
most hollywood romantic comedies ,0,56534
"seems just as expectant of an adoring , wide-smiling reception ",0,56724
"alfred hitchcock 's thrillers , ",0,56736
excuse to eat popcorn ,0,56939
"the exploitative , clumsily staged violence overshadows everything , including most of the actors . ",1,56987
"is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters ",0,57184
", it may be because teens are looking for something to make them laugh . ",0,57609
must indeed be good to recite some of this laughable dialogue with a straight face . ,1,57757
"drama , ",0,58092
"like stereotypical caretakers and moral teachers , instead ",1,58222
been much better ,0,58505
that acting transfigures esther ,1,58621
is an overwhelming sadness that feels as if it has made its way into your very bloodstream ,0,59182
"based on theory , sleight-of-hand , and ill-wrought hypothesis ",1,59482
more fun watching a documentary ,0,59603
mending a child 's pain for his dead mother via communication with an old woman straight out of eudora welty ,0,59650
of empathy ,0,59714
"` synthetic ' is the best description of this well-meaning , beautifully produced film that sacrifices its promise for a high-powered star pedigree . ",0,59724
"to rescue me from a summer of teen-driven , toilet-humor codswallop ",1,59858
painstaking ,1,59877
bloodsucker computer effects ,1,59880
complexities ,0,59915
drama ,0,60082
forgot ,1,60128
shows little understanding ,1,60246
a superficial way ,1,60312
kosminsky ... puts enough salt into the wounds of the tortured and self-conscious material to make it sting . ,1,60843
of jason x ,0,61108
"the setting turns out to be more interesting than any of the character dramas , which never reach satisfying conclusions . ",0,61506
something else altogether -- clownish and ,1,61554
"by then , your senses are as mushy as peas ",1,61588
a bittersweet contemporary comedy ,0,61715
succeeded only in making me groggy . ,1,61744
"the movie turns out to be ( assayas ' ) homage to the gallic ` tradition of quality , ' in all its fusty squareness . ",0,62084
"is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride . ",1,62205
it 's at least watchable ,0,62394
"about motives and context , which drains it of the dramatic substance that would shake us in our boots ( or cinema seats ) ",1,62623
"the director , tom dey , had spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ",1,62690
seems to be about everything that 's plaguing the human spirit in a relentlessly globalizing world ,0,62906
felt with a sardonic jolt ,0,63031
really need a remake of `` charade ,1,63418
falling ,1,63772
enough vices to merit its 103-minute length ,1,63796
inherent in the mixture of bullock bubble and hugh goo ,0,63834
of a copenhagen neighborhood coping with the befuddling complications life ,0,64105
looking for something new ,0,64194
onto the end credits ,1,64721
you realize there 's no place for this story to go but down ,1,64758
this laughable dialogue ,1,64798
sucks you ,1,64822
"passion , grief and fear ",0,65217
poignancy ,0,65318
of lives lived in a state of quiet desperation ,1,65428
a verbal duel ,0,65957
"a film that will be best appreciated by those willing to endure its extremely languorous rhythms , waiting for happiness is ultimately thoughtful without having much dramatic impact . ",1,66364
leftovers ,1,66421
the movie could be released in this condition ,1,66545
is somewhat problematic ,1,66646
am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray richard dawson . ,0,66648
written for no one ,1,66691
"better video-game-based flicks , ",0,66706
sardonic jolt ,0,67028
